OBJECTID,Route,Leg,FullName,Direction,Length,City,Comment,Type,RouteID,EditDate,GlobalID
391,8,,Weber,Southbound,12.42765259,Kitchener/Waterloo,"revised route Jun 24, 2019",15,891,2023/08/28 15:12:58+00,{A307FBEB-309A-4304-ADF1-985407D4C9FA}
392,201,iXpress,Fischer-Hallman,Northbound,54.41317759,Kitchener/Waterloo,,10,941,2023/08/28 15:12:58+00,{BFBC6471-1769-4849-BCC7-E0AA98278DF4}
394,23,,Idlewood,Northbound,19.3835279,Kitchener,,30,912,2023/08/28 15:12:58+00,{AD134FB1-19A3-4066-8BBC-D489D6100891}
396,204,iXpress,Highland-Victoria,Eastbound,16.57059141,Kitchener,,15,944,2023/08/28 15:12:58+00,{A096808F-B15B-4F43-9B11-CC19EA532BA4}
398,16,,Strasburg-Belmont,Southbound,40.84035518,Kitchener/Waterloo,"revised route Jun 24, 2019",30,953,2023/08/28 15:12:58+00,{59F7BAB2-E501-42D0-84D0-BDF1F7E5387B}
399,10,,Pioneer (via Mill Park),Northbound,8.64453054,Kitchener,,15,896,2023/08/28 15:12:58+00,{985F9ECB-F09C-4081-8678-7E9E78C5ABEA}
400,301,ION,ION LRT,Southbound,32.49587665,Kitchener/Waterloo,"New route Jun 21, 2019",10,972,2023/08/28 15:12:58+00,{D09C7C47-5516-4917-8FE5-DCA82D081F03}
402,8,,Weber,Northbound,12.21048642,Kitchener/Waterloo,"revised route Jun 24, 2019",15,890,2023/08/28 15:12:58+00,{B71E78D2-71DE-43C3-B666-745608B176D9}
403,19,B,Hazel (to Northfield Stn.),Loop,12.79266048,Waterloo,"new route Jun 24, 2019",30,905,2023/08/28 15:12:58+00,{28B579BB-5F93-4E05-B7D7-3B990D743192}
405,4,,Glasgow-Margaret,Eastbound,21.82859232,Kitchener/Waterloo,"revised route Jun 24, 2019",30,951,2023/08/28 15:12:58+00,{FE6FF933-6F14-4F21-A647-66B81008144D}
406,19,A,Hazel (to St Jacobs Market),Loop,14.21189441,Waterloo,"new route Jun 24, 2019",30,906,2023/08/28 15:12:58+00,{8BA33DF0-53B9-4B2B-8464-02DC37997E77}
407,51,A,Hespeler (via Fisher Mills),,27.82126797,Cambridge,,30,924,2023/08/28 15:12:58+00,{7F4A1B9C-7444-442D-81FC-B89DA6947659}
408,31,,Columbia,Westbound,16.71434542,Waterloo,"revised route Jun 24, 2019",30,920,2023/08/28 15:12:58+00,{3E983B0B-C0EC-45B3-BC04-E710B5389FBC}
409,7,,King,Southbound,27.87437028,Kitchener/Waterloo,"revised route Jun 24, 2019",15,952,2023/08/28 15:12:58+00,{5CBCC008-807C-4A79-9494-6CC556F17472}
410,16,,Strasburg-Belmont,Northbound,40.84035518,Kitchener/Waterloo,"revised route Jun 24, 2019",30,903,2023/08/28 15:12:58+00,{90890BD7-3268-4911-B115-0D505C778729}
412,30,,Ring Road,Loop,2.73778133,Waterloo,new route for UW Station,15,919,2023/08/28 15:12:58+00,{9487EBAD-72F3-4988-A34D-E124CCC9E5BC}
413,7,,King,Peak Trippers,9.28933978,Kitchener/Waterloo,"revised route Jun 24, 2019",15,889,2023/08/28 15:12:58+00,{7D8F5F0A-90CA-42E3-A690-833719BE7CAC}
414,13,,Laurelwood,Northbound,11.27441085,Waterloo,"revised route Sep 4, 2023",15,900,2023/08/28 15:22:07+00,{16D151DF-5B54-4B4A-AAF3-B3F0D6CDFC3A}
415,1,,Queen-River,Eastbound,39.99227658,Kitchener,"revised route Jun 24, 2019",15,949,2023/08/28 15:12:58+00,{814D2D45-D81C-43E4-9681-EA3CDC00F28D}
417,10,A,Pioneer (via Old Carriage),Northbound,8.02211723,Kitchener,,15,895,2023/08/28 15:12:58+00,{592A6945-56E4-45B9-81B3-3E33A00E8B51}
418,4,,Glasgow-Margaret,Westbound,21.82859232,Kitchener/Waterloo,"revised route Jun 24, 2019",30,883,2023/08/28 15:12:58+00,{208CB829-B2FE-4374-BC08-57CF2746D19C}
420,9,,Lakeshore,Northbound,9.8192922,Waterloo,"revised route Jun 24, 2019",15,892,2023/08/28 15:21:47+00,{0A60BADB-3280-4F45-9465-695CE1381EE9}
422,51,B,Hespeler (via Melran),,30.29770984,Cambridge,,30,925,2023/08/28 15:12:58+00,{387E2DFD-0645-4E3C-95B9-E63B80EC21B6}
423,29,,Keats-University,Southbound,17.18082121,Waterloo,"revised route Jun 24, 2019",30,918,2023/08/28 15:12:58+00,{F316078E-4595-4BE8-AAFB-A04D3065E8A6}
424,22,,Laurentian West,Westbound,11.03298713,Kitchener,"revised route Jun 24, 2019",30,911,2023/08/28 15:12:58+00,{E675C535-EB22-4ECF-82AB-2CC7CEB6DAC0}
425,1,,Queen-River,Westbound,39.99227658,Kitchener,"revised route Jun 24, 2019",15,880,2023/08/28 15:12:58+00,{05D523A9-0836-42B9-9CE6-40B8DA3BCAB0}
426,3,,Ottawa South,Eastbound,18.24739561,Kitchener,"revised route Jun 24, 2019",30,950,2023/08/28 15:12:58+00,{0E4FC177-0AE5-4A3A-9CF3-B5D0BB570273}
427,10,,Pioneer (via Mill Park),Southbound,8.45203488,Kitchener,,15,897,2023/08/28 15:12:58+00,{ACD3B725-CF71-43A8-A5AD-B37FF1B46588}
428,6,,Bridge-Courtland,Southbound,18.93261406,Kitchener/Waterloo,"revised route Jun 24, 2019",30,886,2023/08/28 15:12:58+00,{6B333F16-7213-472E-870F-1670D0ADE158}
