X,Y,OBJECTID,StopID,EasyGo,Street,CrossStreet,Easting,Northing,Longitude,Latitude,Municipality,CreateDate,EditDate,Status,GlobalID
538733.2883,4817680.4786,5997,13207,4051,Bridge St W,Northfield Dr E,538732.971,4817680.637,-80.520807,43.511055,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:39:27+00,Active,{9A044918-0E16-4587-AE16-A8403E9D5C56}
551142.1941,4805409.7927,5999,10612,1584,King St W,Fountain St N,551142.19408438,4805409.79273397,-80.36844303,43.39982396,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:30:30+00,Active,{50F1961E-F71A-475A-8664-A882842FF2E6}
547379.9699,4808966.1089,6000,10681,1650,Morrison Rd,Grand River Blvd,547379.9699034,4808966.10885611,-80.41459201,43.43209202,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:30:44+00,Active,{377DF10E-FC1C-4DCC-9C65-7404E9B7B71E}
541612.6862,4811421.719,6001,11898,2841,Margaret Ave,Queen St N,541612.68622339,4811421.71902376,-80.48565996,43.45454498,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:49+00,Active,{B3B17E17-3EFB-48DB-B81B-4043EC2E193C}
555041.291,4803582.2447,6002,12609,3539,Hespeler Rd,Isherwood Ave,555041.29103484,4803582.24472608,-80.32048001,43.38309298,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:37:20+00,Active,{D623B44F-FA28-45B7-BCEF-DDC096398554}
551945.5455,4804999.3363,6004,10482,1455,King St E,Westminster Dr,551945.5455,4804999.33628119,-80.358562,43.39607304,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:30:03+00,Active,{75FD08D9-8428-495F-9D64-E00481BA9D5E}
554065.5671,4804744.4716,6007,13725,1054,Bishop St N,990 Bishop St N,554065.461,4804744.366,-80.332412,43.393628,Cambridge,2016/11/29 09:45:57+00,2020/02/27 10:04:20+00,Active,{AD3558A2-33A7-4917-AEC9-FFF264A67947}
540981.5837,4803326.395,6008,13880,3633,Ludolph St,Huron Rd,540981.5837,4803326.395,-80.49406747,43.38168887,Kitchener,2018/07/11 10:03:48+00,2019/01/08 14:41:43+00,Active,{615FC18A-07BD-476A-BEC2-48BC08861E8D}
540268.9767,4807619.2923,6009,11927,2869,Ottawa St S,Westmount Rd E,540268.95,4807619.372,-80.502549,43.420382,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:54+00,Active,{1AB2B67F-5CD1-4E81-A7EA-E2A77B9AEE96}
540376.5517,4817642.0029,6010,10963,1929,Eastbridge Blvd,Gaspe Dr,540376.55170497,4817642.00290297,-80.50047697,43.51062002,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:31:47+00,Active,{2CDCFC14-94E0-4BDC-8E0D-C14D49E48984}
540742.3786,4808028.4797,6013,11961,2903,Elmsdale Dr,Chandler Dr,540742.37858716,4808028.47970781,-80.49667004,43.42403997,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:01+00,Active,{B3B6E628-F7F1-475C-AC80-582D25E4CFEB}
538961.373,4811992.6325,6015,13385,6007,Allen Station,ION platform - Southbound,538961.381,4811992.665,-80.518389,43.459829,Waterloo,2015/01/23 14:47:34+00,2019/01/08 15:00:29+00,Active,{085796D9-3815-40BE-88CA-677885A646F1}
542291.3275,4811037.4472,6018,11457,2405,Krug St,Samuel St,542291.3274548,4811037.44724117,-80.47730198,43.45104696,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:33:23+00,Active,{88C206A6-57F8-4BFF-A43F-34745D6810A1}
540003.1266,4812592.3979,6019,13284,1092,Union St E,Weber St S,540003.259,4812592.398,-80.505466,43.465174,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:39:45+00,Active,{6DF11B3A-D102-475C-B6DD-751BC7971837}
539210.7213,4809300.7107,6020,12259,3198,Highland Rd W,Westmount Rd W,539210.72125502,4809300.71074886,-80.51550003,43.43557696,Kitchener,2014/04/04 18:40:35+00,2019/01/08 15:38:19+00,Active,{8D0C1FB6-0636-4FE4-928F-D90120353370}
